Category,DescriptionChrCount,Forks,Stars,Issues,Branches,TotalCommits,Badges,No.READMEHeadings,READMEChrCount
Miscellaneous: Informational,20,2,6,11,2,308,0,3,648
Miscellaneous: Informational,41,0,0,0,1,40,0,0,123
Miscellaneous: Informational,0,0,1,0,1,2,1,38,35048
Miscellaneous: Informational,71,0,0,1,3,2132,1,47,89056
Miscellaneous: Informational,48,0,1,1,2,2146,1,47,89009
Original Analysis,216,0,0,0,2,17,8,10,5769
Original Analysis,79,0,0,0,3,30,0,8,5868
Original Analysis,0,0,0,0,3,37,0,1,177
Original Analysis,73,1,2,3,1,53,1,2,2162
Original Analysis,26,0,0,0,1,243,0,0,174
Original Analysis,0,0,0,0,1,23,0,0,3
Original Analysis,38,2,2,4,1,120,0,1,81
Original Analysis,0,0,0,0,1,4,0,0,0
Original Analysis,223,2,2,0,1,49,0,6,3941
Original Analysis,19,0,1,0,3,170,0,1,718
Original Analysis,0,0,0,0,1,17,0,0,0
Original Analysis,205,2,2,3,1,14,0,46,54165
Original Analysis,54,0,0,0,1,14,0,9,2623
Original Analysis,49,0,0,0,1,22,0,0,228
Original Analysis,54,0,0,0,1,36,0,9,2428
Original Analysis,85,0,0,0,1,5,2,10,5004
Original Analysis,122,10,9,0,1,455,0,0,2301
Original Analysis,48,1,0,0,1,1,0,2,937
Original Analysis,0,0,0,1,1,21,0,1,13184
Original Analysis,0,0,0,0,1,1,0,0,0
Original Analysis,0,0,0,0,2,76,0,0,0
Original Analysis,43,0,0,0,1,3,0,0,99
Educational,0,1,1,2,3,1,0,0,0
Educational,10,0,0,0,1,4,0,9,1682
Educational,0,4,0,0,2,433,0,0,1029
Educational,38,2,2,4,1,120,0,1,81
Educational,223,2,2,0,1,49,0,6,3941
Educational,0,0,0,0,1,6,0,0,21
Educational,0,0,0,0,1,2,0,3,1318
Educational,0,0,0,0,1,4,0,0,0
Educational,164,14,49,6,2,704,9,2,5623
Educational,49,0,0,0,1,22,0,0,228
Educational,73,3,5,0,1,262,0,3,1940
Educational,0,0,0,8,9,6,0,0,0
Educational,244,0,0,0,1,35,0,0,5495
Educational,53,1,1,0,2,207,0,0,920
Educational,48,1,0,0,1,1,0,2,937
Educational,33,80,27,0,87,1613,1,1,0
Educational,54,1,1,11,2,431,0,5,1767
Educational,58,2,0,0,1,153,0,3,454
Educational,56,1,0,0,1,5,0,1,702
Educational,43,0,0,0,1,3,0,0,99
Miscellaneous: Articles,10,2,0,0,1,9,0,0,49
Miscellaneous: Articles,86,0,0,0,1,21,0,0,1009
Miscellaneous: Articles,0,1,0,4,5,3,0,3,3834
Miscellaneous: Articles,69,9,7,0,1,26,0,0,128
Miscellaneous: Articles,0,0,0,0,1,4,0,1,1112
Miscellaneous: Articles,0,0,2,0,1,3,0,0,0
Miscellaneous: Articles,57,0,0,0,1,10,0,0,75
Miscellaneous: Articles,121,1,0,0,2,212,0,0,406
Miscellaneous: Articles,13,4,1,0,1,37,0,0,305
Miscellaneous: Articles,51,0,0,8,1,53,0,6,3483
Miscellaneous: Articles,36,2,5,15,1,276,0,14,12781
Miscellaneous: Articles,97,0,1,0,1,4,0,4,765
Miscellaneous: Articles,0,2,1,0,1,47,0,0,61
Miscellaneous: Scraping,17,6,9,4,3,1999,0,2,4016
Miscellaneous: Scraping,304,0,1,0,20,39,0,0,0
Miscellaneous: Scraping,47,0,0,0,1,7,0,2,1076
Miscellaneous: Scraping,0,0,0,0,1,302,0,0,0
Miscellaneous: Scraping,0,0,0,3,1,32,0,0,0
Miscellaneous: Scraping,68,30,19,45,13,2030,0,0,623
Miscellaneous: Scraping,94,20,12,33,10,365,0,0,1111
Miscellaneous: Scraping,33,0,0,0,1,2,0,0,0
Miscellaneous: Scraping,48,0,0,0,1,2,0,0,290
Miscellaneous: Scraping,110,1,3,1,1,56,0,3,2294
Miscellaneous: Scraping,51,0,0,8,1,53,0,6,3483
Miscellaneous: Scraping,51,0,0,0,1,6,0,3,2878
Miscellaneous: Scraping,44,2,1,12,4,74,0,0,0
Storage,0,0,0,0,1,23,0,0,3
Storage,44,0,0,7,1,537,0,0,380
Storage,0,0,0,0,1,17,0,0,0
Storage,0,0,0,0,1,49,0,139,12369
Storage,79,0,1,0,1,3,0,7,1837
Can't Categorize,13,2,0,1,1,2,0,0,10
Can't Categorize,87,0,3,6,1,15,0,0,4602
